name,category,tier,address,city,zip,phone,email,website,lat,lng,google_rating,google_review_count,business_status,google_maps_url,owner_name,business_structure,chain_affiliation,is_independent,website_quality_score,data_source,last_verified,notes
Wehr's Auto Service Inc,auto_repair,1,536 S Centre St,Pottsville,17901,(570) 622-5718,,,,,5.0,42,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,AAA Approved and NAPA Auto Care center; family owned
Cal's Tire & Auto Service,auto_repair,1,87 Mahanoy Ave,Tamaqua,18252,(570) 668-2200,,https://www.calstireandauto.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Also does tire sales and service
West End Towing & Recovery,auto_repair,1,317 Main St,Tremont,17981,(570) 695-3398,,https://westendtowing.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Auto repair and towing; family owned; 50+ years
Bob Weaver Collision Center,body_shop,1,2081 W End Ave,Pottsville,17901,(570) 622-7191,,https://bobweavercollision.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Full-service collision repair; part of Bob Weaver Auto dealership
Kline Brothers Auto Body Shop,body_shop,1,1616 McBarron St,Pottsville,17901,(570) 622-3678,,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Collision repair and painting since 1960
Ron's Auto Body,body_shop,1,947 E Main St,Schuylkill Haven,17972,(570) 385-3944,,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Auto body repair and painting
R&R Auto Group Collision Center,body_shop,1,388 PA-61,Schuylkill Haven,17972,(570) 385-2881,,https://www.rnrautogroup.com/collision.html,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Direct repair facility for multiple insurers; family owned since 1967
T & T Auto Body and Service,body_shop,1,200 N Delaware Ave,Minersville,17954,(570) 544-3391,,https://tandtautobodyandservice.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Auto body repair and collision restoration
Tom's Auto & Marine,body_shop,1,250 S Greenwood St,Tamaqua,18252,(570) 668-5066,,https://tomsautobodyrepair.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Collision repair since 1964
Gary's Auto Body Inc,body_shop,1,151 Molleystown Rd,Pine Grove,17963,(570) 345-6161,,https://garysautobodypa.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Full service collision and mechanical repair since 1977
Hope's Collision & 24 Hr Towing,body_shop,1,1500 W Broad St,Tamaqua,18252,(570) 668-4113,,http://www.hopescollisionand24hourtowing.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Auto body and 24-hour towing
Ken's Tire Inc - Pottsville,tire_shop,1,1420 Laurel Blvd,Pottsville,17901,(570) 622-8999,,https://www.kenstire.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Tire sales; oil changes; auto service
Ken's Tire Inc - Frackville,tire_shop,1,401 S Lehigh Ave,Frackville,17931,(570) 874-4644,,https://www.kenstire.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Second Ken's Tire location
Mavis Discount Tire,tire_shop,1,7330 Fairlane Village Mall,Pottsville,17901,(570) 231-4514,,https://www.mavis.com/locations/pottsville-pa/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,National chain; tire sales; brakes; oil changes; alignments
JJ Tire & Service Center,tire_shop,1,325 W Bacon St,Pottsville,17901,(570) 622-8473,,https://www.jjtires.net/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Tire sales; towing; auto repair
CJ's Tire & Automotive - Schuylkill Haven,tire_shop,1,641 S Route 61,Schuylkill Haven,17972,(570) 366-8567,,https://cjtire.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Family owned since 1971; 19 PA locations
CJ's Tire & Automotive - Pottsville,tire_shop,1,95 Mill Creek Ave,Pottsville,17901,(570) 622-8544,,https://cjtire.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Second CJ's Tire location in the area
Quick Lane at Sands Ford,oil_change,1,1456 Route 61 S,Pottsville,17901,(570) 622-3660,,https://www.sandsfordofpottsville.com/quick-lane/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Quick oil change; no appointment needed; all makes and models
Bob Weaver Mopar Express Lane,oil_change,1,2104 W Market St,Pottsville,17901,(570) 622-7191,,https://www.bobweavercdjr.com/express-lane.htm,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Quick lube service at Bob Weaver CDJR dealership
Hammers Towing Inc,towing,1,1298 Valley Rd,Pottsville,17901,(570) 544-6350,,https://www.hammerstowing.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,24-hour towing and auto services; family owned
J & R Towing & Recovery,towing,1,,Port Carbon,17965,(570) 573-8870,,https://www.jrtowingandrecovery.net/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,24-hour towing and recovery; also in Minersville
Trail Towing & Auto Repair,towing,1,55 Railroad Ln,Pottsville,17901,(570) 544-2492,,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Towing and auto repair
NAPA Auto Parts - Pottsville,auto_parts,1,308 S Claude A Lord Blvd,Pottsville,17901,(570) 622-6411,,https://www.napaonline.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Full-service auto parts store
AutoZone - Pottsville,auto_parts,1,489 Pottsville St Clair Hwy,Pottsville,17901,,,https://www.autozone.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,National chain auto parts
Advance Auto Parts - Pottsville,auto_parts,1,6169 Cressona Mall,Pottsville,17901,(570) 385-1372,,https://www.advanceautoparts.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,National chain auto parts
Advance Auto Parts - N Claude Lord,auto_parts,1,500 N Claude A Lord Blvd,Pottsville,17901,(570) 593-7003,,https://www.advanceautoparts.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Second Advance location
AutoZone - Schuylkill Haven,auto_parts,1,359 Center Ave,Schuylkill Haven,17972,(570) 385-4800,,https://www.autozone.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,National chain auto parts
NAPA Auto Parts - Schuylkill Haven,auto_parts,1,10 W Williams St,Schuylkill Haven,17972,(570) 385-4400,,https://www.napaonline.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Full-service auto parts store
NAPA Auto Parts - Minersville,auto_parts,1,331 Sunbury St,Minersville,17954,(570) 544-2667,,https://www.napaonline.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Full-service auto parts store
NAPA Auto Parts - Tamaqua,auto_parts,1,1101 E Broad St,Tamaqua,18252,(570) 668-1790,,https://www.napaonline.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Full-service auto parts store
NAPA Auto Parts - Frackville,auto_parts,1,208 S Green St,Frackville,17931,,,https://www.napaonline.com/,,,,,,OPERATIONAL,,,,,No,,web_search,2026-03-15,Full-service auto parts store
Achey Used Auto Parts,auto_parts,1,355 E Second Mountain Rd,Schuylkill Haven,17972,(570) 385-3775,,http://www.ussachey.com/auto/home.html,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Used auto parts and salvage yard
